feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
lbp_mean_code,0.7093310356140137,0.7664356231689453,2.4478078281032842,1.0,0.0078125,0.0375,2.4478078281032842
LH2_entropy,-0.9614755609793622,-0.9711403382171504,-2.3636284166874564,0.0,0.0078125,0.06818181818181818,2.3636284166874564
HL2_entropy,-0.8972551020377889,-0.8978520062741155,-2.3025789825019443,0.0,0.0078125,0.125,2.3025789825019443
HH2_entropy,-1.3136491102795254,-1.3682705926897147,-2.2996241011613368,0.0,0.0078125,0.375,2.2996241011613368
HL1_entropy,-1.1355825385047442,-1.0830993019083064,-1.8804780603809363,0.0,0.0078125,0.10714285714285714,1.8804780603809363
ela_p95,-0.003921568626537919,-0.003921568393707275,-1.8708285823124575,0.0,0.015625,0.03125,1.8708285823124575
LH1_absmean,-0.006024810922099277,-0.0064324624836444855,-1.8415862490712596,0.0,0.0078125,0.09375,1.8415862490712596
LH3_entropy,-0.3867553209881972,-0.3972256408103716,-1.819558314389208,0.0,0.0078125,0.0625,1.819558314389208
LH1_entropy,-1.1992063760688012,-1.238079040905046,-1.756922277497932,0.0,0.0078125,0.08333333333333333,1.756922277497932
HH2_absmean,-0.010311801277566701,-0.009552286937832832,-1.732658222102355,0.0,0.0078125,0.75,1.732658222102355
HH1_entropy,-1.5157247852415376,-1.511629893505782,-1.7042874305886881,0.125,0.015625,0.03125,1.7042874305886881
ela_std,-0.001253389404155314,-0.0014911748003214598,-1.7009321607177363,0.125,0.015625,0.03125,1.7009321607177363
LH2_absmean,-0.012140710023231804,-0.014047512784600258,-1.677614015089209,0.0,0.0078125,0.075,1.677614015089209
LH3_absmean,-0.02077250275760889,-0.020772725343704224,-1.6175039798503061,0.125,0.015625,0.03125,1.6175039798503061
dct_lowfreq_abs_mean,-0.01448476454243064,-0.015083372592926025,-1.541514105321493,0.0,0.0078125,0.057692307692307696,1.541514105321493
gradient_p95,-0.19726126082241535,-0.17801888287067413,-1.5129329301838654,0.125,0.015625,0.03125,1.5129329301838654
