feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
HL3_absmean,8,-0.016771984286606312,-0.018031205981969833,0.022190272334497954,-0.7558259778782374,0.25,0.0546875,0.03125
glcm_entropy_mean,8,-0.5025281866568122,-0.3770070172272133,0.5704614329855863,-0.8809152689372245,0.125,0.0546875,0.03125
high_freq_ratio,8,-0.01835160311020445,-0.006464327219873667,0.029197111804003213,-0.6285417281475172,0.25,0.0625,0.03125
hp_std,8,-0.008201436838135123,-0.0060825953260064125,0.009327543764955195,-0.879270796771707,0.25,0.0625,0.03125
laplacian_std,8,-0.08878112584352493,-0.06275363266468048,0.11302364289632758,-0.7855093285655338,0.25,0.078125,0.03125
glcm_correlation_std,8,-0.022917682506111987,-0.006554501230398257,0.04236896814039599,-0.5409072609502968,0.25,0.078125,0.03125
HH1_energy,8,-0.00029190104373810755,-0.00011693933993228711,0.00039351478680865753,-0.7417790983291345,0.25,0.0859375,0.03125
crossdiff_std,8,-0.012900858884677291,-0.007646718993782997,0.017044451621477726,-0.7568949222409074,0.25,0.0859375,0.03125
ela_max,8,-0.012254900764673948,-0.009803920984268188,0.017213790702264066,-0.7119234209732843,0.125,0.09375,0.03125
glcm_energy_mean,8,0.03503196402095274,0.03513070738181684,0.050129141275695455,0.6988343133246049,0.75,0.09375,0.03125
glcm_ASM_mean,8,0.014696044249230853,0.015947131272433815,0.021180028698378164,0.6938632831199225,0.75,0.09375,0.03125
g_std,8,-0.009688186459243298,-0.008436530828475952,0.017081303007767307,-0.5671807621958249,0.25,0.1484375,0.03125
glcm_energy_std,8,0.00108300181444474,0.0008855912299713681,0.002272451365288366,0.47657865465794513,0.625,0.21875,0.03125
intensity_std,8,-0.008469268679618835,-0.008249551057815552,0.018630535675139843,-0.4545907228486206,0.25,0.2421875,0.03125
r_std,8,-0.00866247620433569,-0.01520615816116333,0.0212397546521982,-0.40784257380483296,0.375,0.296875,0.03125
HL3_energy,8,-0.005841345875523984,-0.0033779549412429333,0.016387217201746327,-0.35645746337587403,0.5,0.359375,0.03125
glcm_homogeneity_std,8,-0.003054115177710398,-0.002709980074831194,0.0092171949318803,-0.3313497436347873,0.5,0.375,0.03125
crossdiff_fft_highfreq_ratio,8,0.015113390982151031,0.004177510738372803,0.051687790710465004,0.2923976972978086,0.625,0.390625,0.03125
glcm_entropy_std,8,0.017077896965833745,0.02365667108136439,0.05258779338711746,0.32475021037899937,0.75,0.390625,0.03125
hsv_value_mean,8,0.008281618356704712,0.0051635801792144775,0.024962431376826886,0.3317632898689789,0.5,0.40625,0.03125
intensity_p50,8,0.009749768301844597,0.005292147397994995,0.031196014803289044,0.3125324937599614,0.5,0.4375,0.03125
hsv_saturation_mean,8,0.00833515333943069,0.012481927871704102,0.03141961795538127,0.2652849996860996,0.625,0.46875,0.03125
intensity_p99,8,0.009859934449195862,-0.003760784864425659,0.03697610930590812,0.2666568937154354,0.5,0.484375,0.03125
g_entropy,8,-0.0747505137466693,-0.13185268419279206,0.3580660132818922,-0.20876182316644773,0.375,0.5390625,0.03125
hsv_saturation_std,8,-0.005410144804045558,0.005389519035816193,0.022081130534364213,-0.24501212904954794,0.625,0.5390625,0.03125
