feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
HH2_absmean,8,-0.010311793128494173,-0.009552283212542534,0.00595143540584953,-1.7326564812177827,0.0,0.0078125,0.025320030120481927
HH2_entropy,8,-1.313645526766777,-1.368270754814148,0.5712583533992853,-2.2995646697328813,0.0,0.0078125,0.025320030120481927
HH3_absmean,8,-0.01377100101672113,-0.011222693137824535,0.009443771901381216,-1.4582098297722572,0.0,0.0078125,0.025320030120481927
HL1_absmean,8,-0.009138234599959105,-0.006482873344793916,0.009668236686323502,-0.9451811014190284,0.0,0.0078125,0.025320030120481927
HL1_entropy,8,-1.135555624961853,-1.0829803943634033,0.6038791752011882,-1.880435145960335,0.0,0.0078125,0.025320030120481927
HL2_absmean,8,-0.015866911271587014,-0.013189101591706276,0.012926860609517298,-1.2274373299813512,0.0,0.0078125,0.025320030120481927
HL2_entropy,8,-0.8972740471363068,-0.8979326486587524,0.3896830869939315,-2.3025737505263604,0.0,0.0078125,0.025320030120481927
LH1_absmean,8,-0.006024808652000502,-0.006432462017983198,0.0032715338374497303,-1.8415853087116596,0.0,0.0078125,0.025320030120481927
LH1_entropy,8,-1.1992081701755524,-1.238079309463501,0.6825595647958338,-1.75692823311949,0.0,0.0078125,0.025320030120481927
LH2_absmean,8,-0.012140701757743955,-0.014047505334019661,0.0072368906495583725,-1.6776129895626977,0.0,0.0078125,0.025320030120481927
LH2_entropy,8,-0.9614818394184113,-0.9711403846740723,0.40678808515142656,-2.3635939067893306,0.0,0.0078125,0.025320030120481927
LH3_entropy,8,-0.38657790422439575,-0.3972196578979492,0.21244811011335077,-1.819634469886029,0.0,0.0078125,0.025320030120481927
contour_perimeter_per_area,8,-0.02845503586996756,-0.018541933590768167,0.03770445153322071,-0.7546863755569112,0.0,0.0078125,0.025320030120481927
dct_coeff_abs_mean,8,-0.00722569040954113,-0.006467986851930618,0.004817929091365686,-1.499750260436677,0.0,0.0078125,0.025320030120481927
edge_density,8,-0.015447139739990234,-0.010406494140625,0.020791338156287552,-0.7429603435755208,0.0,0.0078125,0.025320030120481927
glcm_dissimilarity_mean,8,-0.35553592331094086,-0.3021655856861575,0.2774192241289349,-1.2815835832115947,0.0,0.0078125,0.025320030120481927
glcm_homogeneity_mean,8,0.08799607784684518,0.0878570122525057,0.06210971019699169,1.4167845505598142,1.0,0.0078125,0.025320030120481927
gradient_mean,8,-0.006923659355379641,-0.007612733170390129,0.005045567358795954,-1.3722261270201068,0.0,0.0078125,0.025320030120481927
hp_absmean,8,-0.0058944411866832525,-0.004180887248367071,0.005286319294094373,-1.1150369205409603,0.0,0.0078125,0.025320030120481927
hp_kurtosis,8,9.759084850549698,8.892878532409668,9.234903738247379,1.0567608636927492,1.0,0.0078125,0.025320030120481927
laplacian_absmean,8,-0.0034166484256275,-0.002352337818592787,0.003432133379413097,-0.995488242421323,0.0,0.0078125,0.025320030120481927
lbp_mean_code,8,0.4740900993347168,0.4813709259033203,0.21012328324827345,2.2562473420641846,1.0,0.0078125,0.025320030120481927
qwt_HH1_phase_gb_circular_coherence,8,0.44334242888726294,0.5030449703335762,0.20956396535270044,2.115547050949855,1.0,0.0078125,0.025320030120481927
qwt_HH1_phase_gb_std,8,-0.494866281747818,-0.6009502410888672,0.273414074362907,-1.8099517477325393,0.0,0.0078125,0.025320030120481927
qwt_HH1_phase_rb_circular_coherence,8,0.44728504307568073,0.5151614397764206,0.2122554646511079,2.107295771210883,1.0,0.0078125,0.025320030120481927
qwt_HH1_phase_rb_std,8,-0.5019881799817085,-0.6076715588569641,0.2790406242219106,-1.7989788453974216,0.0,0.0078125,0.025320030120481927
qwt_HH1_phase_rg_circular_coherence,8,0.44084127992391586,0.503032311797142,0.2103185935788696,2.0960642253372628,1.0,0.0078125,0.025320030120481927
qwt_HH1_phase_rg_std,8,-0.4893796592950821,-0.6077428758144379,0.27754128796335065,-1.7632679551436856,0.0,0.0078125,0.025320030120481927
qwt_HH2_magnitude_entropy,8,-1.1214777529239655,-1.1658889055252075,0.5855114816950379,-1.9153813169936849,0.0,0.0078125,0.025320030120481927
