feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
qwt_HL2_magnitude_entropy,-0.8683304488658905,-0.8791779279708862,-3.063365585953635,0.0,0.0078125,0.025320030120481927,3.063365585953635
qwt_LH2_magnitude_entropy,-0.7486552894115448,-0.6696181297302246,-2.4545394629376562,0.0,0.0078125,0.025320030120481927,2.4545394629376562
LH2_entropy,-0.9614818394184113,-0.9711403846740723,-2.3635939067893306,0.0,0.0078125,0.025320030120481927,2.3635939067893306
HL2_entropy,-0.8972740471363068,-0.8979326486587524,-2.3025737505263604,0.0,0.0078125,0.025320030120481927,2.3025737505263604
HH2_entropy,-1.313645526766777,-1.368270754814148,-2.2995646697328813,0.0,0.0078125,0.025320030120481927,2.2995646697328813
lbp_mean_code,0.4740900993347168,0.4813709259033203,2.2562473420641846,1.0,0.0078125,0.025320030120481927,2.2562473420641846
qwt_HH1_phase_gb_circular_coherence,0.44334242888726294,0.5030449703335762,2.115547050949855,1.0,0.0078125,0.025320030120481927,2.115547050949855
qwt_HH1_phase_rb_circular_coherence,0.44728504307568073,0.5151614397764206,2.107295771210883,1.0,0.0078125,0.025320030120481927,2.107295771210883
qwt_HH1_phase_rg_circular_coherence,0.44084127992391586,0.503032311797142,2.0960642253372628,1.0,0.0078125,0.025320030120481927,2.0960642253372628
qwt_HL1_phase_gb_circular_coherence,0.4220706059713848,0.5022172704339027,2.0710557575334403,1.0,0.0078125,0.025320030120481927,2.0710557575334403
qwt_HL1_phase_rg_circular_coherence,0.41805357462726533,0.5070370025932789,2.049271374693034,1.0,0.0078125,0.025320030120481927,2.049271374693034
qwt_LH1_magnitude_entropy,-1.115396574139595,-1.1462947130203247,-2.040289016868362,0.0,0.0078125,0.025320030120481927,2.040289016868362
qwt_HL1_phase_rb_circular_coherence,0.4185949948732741,0.517286378890276,2.021479670060698,1.0,0.0078125,0.025320030120481927,2.021479670060698
synth_r_p2_x_mean,0.1280639842734672,0.11719528213143349,1.9769341749054736,1.0,0.0078125,0.025320030120481927,1.9769341749054736
synth_b_p2_x_mean,0.1278688912279904,0.11621839087456465,1.9368410115794015,1.0,0.0078125,0.025320030120481927,1.9368410115794015
qwt_HH2_magnitude_entropy,-1.1214777529239655,-1.1658889055252075,-1.9153813169936849,0.0,0.0078125,0.025320030120481927,1.9153813169936849
qwt_HH2_phase_gb_circular_coherence,0.37027934804791585,0.4271537773311138,1.9108951709843285,1.0,0.0078125,0.025320030120481927,1.9108951709843285
qwt_HH2_phase_rg_circular_coherence,0.37235176406102255,0.43765402492135763,1.9079320047288615,1.0,0.0078125,0.025320030120481927,1.9079320047288615
qwt_HH2_phase_rb_circular_coherence,0.36827992781763896,0.4312781543121673,1.88579440866381,1.0,0.0078125,0.025320030120481927,1.88579440866381
HL1_entropy,-1.135555624961853,-1.0829803943634033,-1.880435145960335,0.0,0.0078125,0.025320030120481927,1.880435145960335
qwt_HL1_magnitude_entropy,-1.1293337643146515,-1.1219019889831543,-1.878492422703462,0.0,0.0078125,0.025320030120481927,1.878492422703462
qwt_HL1_magnitude_mean,-0.010380761115811765,-0.011090066283941269,-1.8693784688140682,0.0,0.0078125,0.025320030120481927,1.8693784688140682
qwt_HL2_phase_rg_circular_coherence,0.291425583709497,0.3739676643162966,1.8665130277294248,1.0,0.0078125,0.025320030120481927,1.8665130277294248
LH1_absmean,-0.006024808652000502,-0.006432462017983198,-1.8415853087116596,0.0,0.0078125,0.025320030120481927,1.8415853087116596
synth_g_p2_x_mean,0.11899073712993413,0.10403435584157705,1.8329553981865747,1.0,0.0078125,0.025320030120481927,1.8329553981865747
qwt_HL2_phase_rb_circular_coherence,0.28469405928626657,0.3682511914521456,1.8205924922976253,1.0,0.0078125,0.025320030120481927,1.8205924922976253
LH3_entropy,-0.38657790422439575,-0.3972196578979492,-1.819634469886029,0.0,0.0078125,0.025320030120481927,1.819634469886029
qwt_HH1_phase_gb_std,-0.494866281747818,-0.6009502410888672,-1.8099517477325393,0.0,0.0078125,0.025320030120481927,1.8099517477325393
qwt_HH1_phase_rb_std,-0.5019881799817085,-0.6076715588569641,-1.7989788453974216,0.0,0.0078125,0.025320030120481927,1.7989788453974216
qwt_HL1_phase_gb_std,-0.43953627347946167,-0.5681542754173279,-1.7976166599172592,0.0,0.0078125,0.025320030120481927,1.7976166599172592
qwt_LH1_phase_rg_circular_coherence,0.4133107193047181,0.5183178279548883,1.7959736680184595,1.0,0.0078125,0.025320030120481927,1.7959736680184595
qwt_LH1_phase_rb_circular_coherence,0.4166683969087899,0.524763498455286,1.7924156260761919,1.0,0.0078125,0.025320030120481927,1.7924156260761919
qwt_LH1_phase_gb_circular_coherence,0.4159979388350621,0.5189637672156096,1.791766180391024,1.0,0.0078125,0.025320030120481927,1.791766180391024
qwt_HL2_phase_gb_circular_coherence,0.25355931278318167,0.30851127579808235,1.7783570785916656,1.0,0.0078125,0.025320030120481927,1.7783570785916656
qwt_HH1_phase_rg_std,-0.4893796592950821,-0.6077428758144379,-1.7632679551436856,0.0,0.0078125,0.025320030120481927,1.7632679551436856
LH1_entropy,-1.1992081701755524,-1.238079309463501,-1.75692823311949,0.0,0.0078125,0.025320030120481927,1.75692823311949
qwt_HH2_magnitude_mean,-0.01764395390637219,-0.016208559274673462,-1.7436676996721512,0.0,0.0078125,0.025320030120481927,1.7436676996721512
qwt_HL1_phase_rg_std,-0.4189752787351608,-0.563946008682251,-1.7391369578470541,0.0,0.0078125,0.025320030120481927,1.7391369578470541
HH2_absmean,-0.010311793128494173,-0.009552283212542534,-1.7326564812177827,0.0,0.0078125,0.025320030120481927,1.7326564812177827
qwt_HL1_phase_rb_std,-0.4334178566932678,-0.5775392651557922,-1.7272485616655526,0.0,0.0078125,0.025320030120481927,1.7272485616655526
HH1_entropy,-1.5156933665275574,-1.5116300582885742,-1.7042572602040034,0.125,0.015625,0.03686951754385965,1.7042572602040034
lbp_std_code,-0.596802219748497,-0.6765133142471313,-1.6969240263485765,0.125,0.015625,0.03686951754385965,1.6969240263485765
qwt_LH1_phase_rb_std,-0.46405141800642014,-0.596483588218689,-1.6963544335930383,0.0,0.0078125,0.025320030120481927,1.6963544335930383
qwt_HH1_magnitude_entropy,-1.3424223512411118,-1.497516393661499,-1.6953104500813811,0.125,0.015625,0.03686951754385965,1.6953104500813811
LH2_absmean,-0.012140701757743955,-0.014047505334019661,-1.6776129895626977,0.0,0.0078125,0.025320030120481927,1.6776129895626977
qwt_LH1_phase_gb_std,-0.4630879685282707,-0.589087724685669,-1.673613368478166,0.0,0.0078125,0.025320030120481927,1.673613368478166
qwt_LH1_phase_rg_std,-0.4522484391927719,-0.5994126796722412,-1.6665445714219747,0.0,0.0078125,0.025320030120481927,1.6665445714219747
ela_p95,-0.0049019609577953815,-0.005882353987544775,-1.6651988752889053,0.0,0.015625,0.03686951754385965,1.6651988752889053
qwt_HL3_magnitude_mean,-0.035422355867922306,-0.03628753125667572,-1.6467871150471844,0.125,0.015625,0.03686951754385965,1.6467871150471844
qwt_HL2_magnitude_mean,-0.02031585481017828,-0.02329319156706333,-1.639134226016918,0.0,0.0078125,0.025320030120481927,1.639134226016918
synth_b_p4_x_mean,0.26993682063766755,0.2504289244534448,1.636338448904019,1.0,0.0078125,0.025320030120481927,1.636338448904019
ela_mean,-0.0019112599838990718,-0.002314553828909993,-1.6316218353306629,0.125,0.015625,0.03686951754385965,1.6316218353306629
LH3_absmean,-0.02077249949797988,-0.020772721618413925,-1.6175042735611436,0.125,0.015625,0.03686951754385965,1.6175042735611436
synth_r_p4_x_mean,0.26497740880586207,0.2439226759597659,1.595969911258753,1.0,0.0078125,0.025320030120481927,1.595969911258753
qwt_HL3_magnitude_entropy,-0.3710651993751526,-0.4235236644744873,-1.565381830358141,0.125,0.015625,0.03686951754385965,1.565381830358141
qwt_HH3_phase_rg_circular_coherence,0.2012029143224936,0.15804652590304613,1.5589753821932768,1.0,0.0078125,0.025320030120481927,1.5589753821932768
synth_b_p2_y_mean,0.11443725496064872,0.10024712840095162,1.5560325966538957,1.0,0.0078125,0.025320030120481927,1.5560325966538957
synth_g_p4_x_mean,0.26067361305467784,0.2400008486583829,1.5405180286773532,1.0,0.0078125,0.025320030120481927,1.5405180286773532
ela_std,-0.001442635286366567,-0.0015690787695348263,-1.538481851263944,0.125,0.015625,0.03686951754385965,1.538481851263944
qwt_HL2_phase_rg_std,-0.2673117369413376,-0.33524811267852783,-1.5316930535022413,0.125,0.015625,0.03686951754385965,1.5316930535022413
qwt_LH2_phase_rg_circular_coherence,0.3156883185438346,0.38427198957651854,1.5216793810154097,1.0,0.0078125,0.025320030120481927,1.5216793810154097
gradient_p95,-0.02470493339933455,-0.022254999727010727,-1.5185518946077103,0.125,0.015625,0.03686951754385965,1.5185518946077103
qwt_HH2_phase_gb_std,-0.33161796629428864,-0.40621477365493774,-1.5079086061441704,0.0,0.0078125,0.025320030120481927,1.5079086061441704
synth_g_p2_y_mean,0.10625530799734406,0.08798875007778406,1.5011339718478072,1.0,0.0078125,0.025320030120481927,1.5011339718478072
dct_coeff_abs_mean,-0.00722569040954113,-0.006467986851930618,-1.499750260436677,0.0,0.0078125,0.025320030120481927,1.499750260436677
qwt_HH3_phase_rb_circular_coherence,0.18656770506640896,0.14144342951476574,1.4940094980604528,1.0,0.0078125,0.025320030120481927,1.4940094980604528
qwt_LH2_phase_rg_std,-0.3163551539182663,-0.3712186813354492,-1.4912539899714246,0.0,0.0078125,0.025320030120481927,1.4912539899714246
synth_r_p2_y_mean,0.1100348203908652,0.09007620019838214,1.4849561095876231,1.0,0.0078125,0.025320030120481927,1.4849561095876231
qwt_HH2_phase_rb_std,-0.32761572301387787,-0.39331507682800293,-1.4757467188255269,0.125,0.015625,0.03686951754385965,1.4757467188255269
HH3_absmean,-0.01377100101672113,-0.011222693137824535,-1.4582098297722572,0.0,0.0078125,0.025320030120481927,1.4582098297722572
qwt_HH3_phase_gb_circular_coherence,0.181162053195294,0.14456613082438707,1.4488522214837112,1.0,0.0078125,0.025320030120481927,1.4488522214837112
qwt_HH3_magnitude_mean,-0.023143662605434656,-0.019973518326878548,-1.4460956298976562,0.0,0.0078125,0.025320030120481927,1.4460956298976562
qwt_HL2_phase_rb_std,-0.26527443528175354,-0.3458293080329895,-1.436292805143126,0.125,0.015625,0.03686951754385965,1.436292805143126
qwt_LH2_quaternion_kurtosis,7.858756482601166,7.881708145141602,1.4344480787211198,1.0,0.0078125,0.025320030120481927,1.4344480787211198
HH3_entropy,-0.6309141516685486,-0.6970119476318359,-1.4263010380731977,0.125,0.015625,0.03686951754385965,1.4263010380731977
qwt_LH2_quaternion_skewness,0.6198657006025314,0.5490820407867432,1.425885444269607,1.0,0.0078125,0.025320030120481927,1.425885444269607
qwt_HH2_phase_rg_std,-0.3175531327724457,-0.38828545808792114,-1.4246432796067434,0.125,0.015625,0.03686951754385965,1.4246432796067434
HL3_entropy,-0.4330939054489136,-0.4721183776855469,-1.4175645707855329,0.125,0.015625,0.03686951754385965,1.4175645707855329
glcm_homogeneity_mean,0.08799607784684518,0.0878570122525057,1.4167845505598142,1.0,0.0078125,0.025320030120481927,1.4167845505598142
qwt_LH2_phase_rb_circular_coherence,0.29718512811814435,0.36674597952514887,1.4161985814746663,0.875,0.015625,0.03686951754385965,1.4161985814746663
qwt_LH2_phase_rb_std,-0.30009156465530396,-0.37155598402023315,-1.4078339097592063,0.0,0.0078125,0.025320030120481927,1.4078339097592063
gradient_mean,-0.006923659355379641,-0.007612733170390129,-1.3722261270201068,0.0,0.0078125,0.025320030120481927,1.3722261270201068
qwt_HL3_phase_gb_std,-0.10492528975009918,-0.1009405255317688,-1.3696968283373108,0.125,0.015625,0.03686951754385965,1.3696968283373108
synth_b_p4_y_mean,0.2835342751350254,0.2508058142848313,1.367443939894444,1.0,0.0078125,0.025320030120481927,1.367443939894444
qwt_HL3_phase_gb_circular_coherence,0.1284697144292295,0.13273646123707294,1.355464004342092,1.0,0.0078125,0.025320030120481927,1.355464004342092
qwt_LH2_phase_gb_circular_coherence,0.2596067093836609,0.328712928108871,1.3545705784080746,0.875,0.0234375,0.05084425403225806,1.3545705784080746
qwt_LH3_phase_gb_std,-0.12453536689281464,-0.11717474460601807,-1.3109049766211887,0.0,0.0078125,0.025320030120481927,1.3109049766211887
synth_r_p4_y_mean,0.27395474060904235,0.24031880544498563,1.2981995496680938,1.0,0.0078125,0.025320030120481927,1.2981995496680938
glcm_dissimilarity_mean,-0.35553592331094086,-0.3021655856861575,-1.2815835832115947,0.0,0.0078125,0.025320030120481927,1.2815835832115947
synth_g_p4_y_mean,0.27199410198954865,0.23476578062400222,1.275100726126959,1.0,0.0078125,0.025320030120481927,1.275100726126959
qwt_HL2_phase_gb_std,-0.20183786749839783,-0.2755119204521179,-1.2603321623901607,0.125,0.0234375,0.05084425403225806,1.2603321623901607
qwt_HL1_quaternion_kurtosis,10.546364545822144,10.051976203918457,1.2382946689102707,0.875,0.0234375,0.05084425403225806,1.2382946689102707
qwt_LH2_phase_gb_std,-0.22481049597263336,-0.29537761211395264,-1.229543811612058,0.25,0.03125,0.061810661764705885,1.229543811612058
HL2_absmean,-0.015866911271587014,-0.013189101591706276,-1.2274373299813512,0.0,0.0078125,0.025320030120481927,1.2274373299813512
qwt_HH3_phase_rb_std,-0.1438516229391098,-0.12505143880844116,-1.2180798098926784,0.0,0.0078125,0.025320030120481927,1.2180798098926784
lbp_hist_entropy,-0.39564988017082214,-0.43897056579589844,-1.214018256791134,0.125,0.015625,0.03686951754385965,1.214018256791134
qwt_LH2_magnitude_mean,-0.026479681488126516,-0.02200513333082199,-1.1860293123076942,0.0,0.0078125,0.025320030120481927,1.1860293123076942
qwt_HL3_magnitude_energy,-0.027813522232463583,-0.024730224162340164,-1.124175171643627,0.125,0.0234375,0.05084425403225806,1.124175171643627
HL2_energy,-0.0036394778871908784,-0.003285500453785062,-1.1172355777508332,0.25,0.03125,0.061810661764705885,1.1172355777508332
LH3_energy,-0.009225251502357423,-0.007417595013976097,-1.116113376939833,0.125,0.015625,0.03686951754385965,1.116113376939833
hp_absmean,-0.0058944411866832525,-0.004180887248367071,-1.1150369205409603,0.0,0.0078125,0.025320030120481927,1.1150369205409603
qwt_HH3_phase_gb_std,-0.1261756867170334,-0.11530280113220215,-1.1089501790723484,0.0,0.0078125,0.025320030120481927,1.1089501790723484
qwt_HL1_quaternion_skewness,0.6555720567703247,0.7079789638519287,1.1073332880558768,0.875,0.0234375,0.05084425403225806,1.1073332880558768
qwt_LH3_magnitude_entropy,-0.30655422806739807,-0.38016629219055176,-1.1014310084259122,0.125,0.0390625,0.07348120629370629,1.1014310084259122
qwt_LH2_magnitude_energy,-0.0106072211638093,-0.009391494560986757,-1.0943624288938414,0.25,0.03125,0.061810661764705885,1.0943624288938414
qwt_HH3_phase_rg_std,-0.14869441092014313,-0.10411107540130615,-1.087767020301521,0.0,0.0078125,0.025320030120481927,1.087767020301521
qwt_HH3_magnitude_entropy,-0.46418771147727966,-0.5284929275512695,-1.075810973553473,0.25,0.0390625,0.07348120629370629,1.075810973553473
